               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.067507,            0.068972,            0.037114,             0.70042,             0.16074,             0.15858,            0.058771,            0.072143,            0.038152,            0.036521,             0.00307,             0.00307,             0.00307
                  37,            0.064869,            0.068489,            0.036574,             0.33335,             0.24481,             0.19101,             0.07658,            0.071745,            0.038074,            0.036786,            0.002872,            0.002872,            0.002872
                  38,            0.066713,            0.068541,            0.036503,             0.31087,             0.24512,             0.18102,             0.08267,            0.071408,            0.038728,            0.036488,            0.002674,            0.002674,            0.002674
                  39,            0.065099,            0.067727,            0.034908,             0.30909,             0.23239,             0.18999,            0.085336,            0.071369,             0.03909,            0.036314,            0.002476,            0.002476,            0.002476
                  40,            0.064277,            0.067213,            0.035187,             0.75069,             0.15852,             0.23624,            0.092068,            0.071683,            0.038751,            0.036157,            0.002278,            0.002278,            0.002278
                  41,            0.066222,            0.070888,            0.035325,             0.35572,                0.25,             0.21265,            0.082675,            0.070874,               0.039,            0.035735,             0.00208,             0.00208,             0.00208
                  42,            0.065305,             0.06795,            0.034607,             0.35809,             0.20011,             0.21519,             0.09258,            0.070984,            0.038724,            0.035555,            0.001882,            0.001882,            0.001882
                  43,             0.06443,            0.067371,            0.034306,             0.35139,                0.29,             0.23149,            0.091689,            0.071709,            0.038493,            0.035676,            0.001684,            0.001684,            0.001684
                  44,            0.064937,            0.067376,            0.035795,             0.36275,             0.30642,             0.24301,            0.092903,            0.070783,            0.038461,            0.035592,            0.001486,            0.001486,            0.001486
                  45,            0.063505,            0.065444,            0.034888,             0.42675,             0.19974,             0.22781,            0.093013,            0.069691,            0.038379,            0.035131,            0.001288,            0.001288,            0.001288
                  46,            0.064007,            0.068358,            0.033571,             0.38647,             0.20259,              0.2207,            0.086962,            0.069628,             0.03842,            0.035044,             0.00109,             0.00109,             0.00109
                  47,            0.063864,            0.066021,              0.0353,              0.3754,             0.20801,             0.21983,            0.091061,            0.070093,            0.038078,            0.035004,            0.000892,            0.000892,            0.000892
                  48,            0.062649,            0.066917,            0.033794,             0.37788,             0.18882,             0.21281,            0.089917,            0.070164,            0.037975,            0.035064,            0.000694,            0.000694,            0.000694
                  49,            0.065052,            0.063734,            0.034603,             0.39325,             0.19529,             0.21375,            0.089248,            0.070098,            0.037753,            0.035025,            0.000496,            0.000496,            0.000496
